Model,Accuracy,Precision,Recall,F1 Score,AUC-ROC
Random Forest,0.975,0.9805555555555555,0.975,0.9758680555555556,0.9925785719632566
XGBoost,0.9625,0.9737500000000001,0.9625,0.964898861843588,0.9977896952646086
LightGBM,0.9625,0.969017094017094,0.9625,0.9632504084967319,0.999508147377444
SVM,0.725,0.7054450757575758,0.725,0.7025262237762238,0.949247567211807
Logistic Regression,0.8375,0.8358333333333332,0.8375,0.83125679145416,0.966142043029786
