,Accuracy,Precision,Recall,F1 Score,ROC AUC,Confusion Matrix
XGBoost,0.985,0.9777794582241043,0.9829117979346175,0.9802058536897712,0.9988635530389485,"[[89  0  0  0  0  0]
 [ 0 77  1  0  0  0]
 [ 0  0 33  1  0  0]
 [ 0  0  0 44  1  0]
 [ 0  0  0  0 57  1]
 [ 0  0  2  0  0 94]]"
LightGBM,0.9675,0.9609789907056951,0.9588174944274096,0.9595566258038509,0.9987486401892962,"[[88  1  0  0  0  0]
 [ 1 76  1  0  0  0]
 [ 0  1 31  0  0  2]
 [ 0  0  2 42  1  0]
 [ 0  0  0  0 56  2]
 [ 0  0  2  0  0 94]]"
Gradient Boosting,0.99,0.9900700769950165,0.9815904139433552,0.985461274121068,0.998594406183912,"[[89  0  0  0  0  0]
 [ 0 78  0  0  0  0]
 [ 0  0 31  1  0  2]
 [ 0  0  0 44  1  0]
 [ 0  0  0  0 58  0]
 [ 0  0  0  0  0 96]]"
Random Forest,0.9625,0.9503353128353128,0.9562831023213882,0.952983413785363,0.9961701700493185,"[[89  0  0  0  0  0]
 [ 0 78  0  0  0  0]
 [ 0  1 31  2  0  0]
 [ 0  1  1 42  1  0]
 [ 0  0  0  0 56  2]
 [ 0  0  4  0  3 89]]"
Logistic Regression,0.79,0.7371412083157098,0.7216045784424434,0.7249867747191564,0.958092063931481,"[[82  7  0  0  0  0]
 [ 6 66  5  1  0  0]
 [ 0 17 10  7  0  0]
 [ 0  1  7 29  7  1]
 [ 0  0  0  4 41 13]
 [ 0  2  0  1  5 88]]"
ANN (MLPClassifier),0.7925,0.7446943514050163,0.7406936708252746,0.7418553010512402,0.9557179041306564,"[[81  6  2  0  0  0]
 [ 5 66  6  1  0  0]
 [ 0 11 15  6  1  1]
 [ 0  0  4 31  9  1]
 [ 0  0  0  8 39 11]
 [ 0  1  2  1  7 85]]"
SVM,0.7675,0.6666238717709306,0.6790372736558238,0.6580574055800382,0.9506716195495936,"[[78 10  0  0  0  1]
 [ 2 72  2  1  0  1]
 [ 0 21  1 10  0  2]
 [ 0  0  2 30 10  3]
 [ 0  0  0  8 39 11]
 [ 0  2  0  2  5 87]]"
